depmap_column_name	gene_symbol	ncbi_entrez_id
ALKAL1 (389658)	ALKAL1	389658
ALKAL2 (285016)	ALKAL2	285016
ALKBH1 (8846)	ALKBH1	8846
ALKBH2 (121642)	ALKBH2	121642
ALKBH3 (221120)	ALKBH3	221120
ALKBH4 (54784)	ALKBH4	54784
ALKBH5 (54890)	ALKBH5	54890
ALKBH6 (84964)	ALKBH6	84964
ALKBH7 (84266)	ALKBH7	84266
ALKBH8 (91801)	ALKBH8	91801
ALLC (55821)	ALLC	55821
ALMS1 (7840)	ALMS1	7840
ALOX12 (239)	ALOX12	239
ALOX12B (242)	ALOX12B	242
ALOX15 (246)	ALOX15	246
ALOX15B (247)	ALOX15B	247
ALOX5 (240)	ALOX5	240
ALOX5AP (241)	ALOX5AP	241
ALOXE3 (59344)	ALOXE3	59344
ALPG (251)	ALPG	251
ALPI (248)	ALPI	248
ALPK1 (80216)	ALPK1	80216
ALPK2 (115701)	ALPK2	115701
ALPK3 (57538)	ALPK3	57538
ALPL (249)	ALPL	249
ALPP (250)	ALPP	250
ALS2 (57679)	ALS2	57679
ALS2CL (259173)	ALS2CL	259173
ALX1 (8092)	ALX1	8092
ALX3 (257)	ALX3	257
ALX4 (60529)	ALX4	60529
ALYREF (10189)	ALYREF	10189
AMACR (23600)	AMACR	23600
AMBN (258)	AMBN	258
AMBP (259)	AMBP	259
AMBRA1 (55626)	AMBRA1	55626
AMD1 (262)	AMD1	262
AMDHD1 (144193)	AMDHD1	144193
AMDHD2 (51005)	AMDHD2	51005
AMELX (265)	AMELX	265
AMER1 (139285)	AMER1	139285
AMER2 (219287)	AMER2	219287
AMER3 (205147)	AMER3	205147
AMFR (267)	AMFR	267
AMH (268)	AMH	268
AMHR2 (269)	AMHR2	269
AMIGO1 (57463)	AMIGO1	57463
AMIGO2 (347902)	AMIGO2	347902
AMIGO3 (386724)	AMIGO3	386724
AMMECR1 (9949)	AMMECR1	9949
AMMECR1L (83607)	AMMECR1L	83607
AMN (81693)	AMN	81693
AMN1 (196394)	AMN1	196394
AMOT (154796)	AMOT	154796
AMOTL1 (154810)	AMOTL1	154810
AMOTL2 (51421)	AMOTL2	51421
AMPD1 (270)	AMPD1	270
AMPD2 (271)	AMPD2	271
AMPD3 (272)	AMPD3	272
AMPH (273)	AMPH	273
AMT (275)	AMT	275
AMTN (401138)	AMTN	401138
AMY2A (279)	AMY2A	279
AMZ1 (155185)	AMZ1	155185
AMZ2 (51321)	AMZ2	51321
ANAPC1 (64682)	ANAPC1	64682
ANAPC10 (10393)	ANAPC10	10393
ANAPC11 (51529)	ANAPC11	51529
ANAPC13 (25847)	ANAPC13	25847
ANAPC15 (25906)	ANAPC15	25906
ANAPC16 (119504)	ANAPC16	119504
ANAPC2 (29882)	ANAPC2	29882
ANAPC4 (29945)	ANAPC4	29945
ANAPC5 (51433)	ANAPC5	51433
ANAPC7 (51434)	ANAPC7	51434
ANG (283)	ANG	283
ANGEL1 (23357)	ANGEL1	23357
ANGEL2 (90806)	ANGEL2	90806
ANGPT1 (284)	ANGPT1	284
ANGPT2 (285)	ANGPT2	285
ANGPT4 (51378)	ANGPT4	51378
ANGPTL1 (9068)	ANGPTL1	9068
ANGPTL2 (23452)	ANGPTL2	23452
ANGPTL3 (27329)	ANGPTL3	27329
ANGPTL4 (51129)	ANGPTL4	51129
ANGPTL5 (253935)	ANGPTL5	253935
ANGPTL6 (83854)	ANGPTL6	83854
ANGPTL7 (10218)	ANGPTL7	10218
ANGPTL8 (55908)	ANGPTL8	55908
ANHX (647589)	ANHX	647589
ANK1 (286)	ANK1	286
ANK2 (287)	ANK2	287
ANK3 (288)	ANK3	288
ANKAR (150709)	ANKAR	150709
ANKDD1A (348094)	ANKDD1A	348094
ANKDD1B (728780)	ANKDD1B	728780
ANKEF1 (63926)	ANKEF1	63926
ANKFN1 (162282)	ANKFN1	162282
ANKFY1 (51479)	ANKFY1	51479
ANKH (56172)	ANKH	56172
ANKHD1 (54882)	ANKHD1	54882
ANKIB1 (54467)	ANKIB1	54467
ANKK1 (255239)	ANKK1	255239
ANKLE1 (126549)	ANKLE1	126549
ANKLE2 (23141)	ANKLE2	23141
ANKMY1 (51281)	ANKMY1	51281
ANKMY2 (57037)	ANKMY2	57037
ANKRA2 (57763)	ANKRA2	57763
ANKRD1 (27063)	ANKRD1	27063
ANKRD10 (55608)	ANKRD10	55608
ANKRD11 (29123)	ANKRD11	29123
ANKRD12 (23253)	ANKRD12	23253
ANKRD13A (88455)	ANKRD13A	88455
ANKRD13B (124930)	ANKRD13B	124930
ANKRD13C (81573)	ANKRD13C	81573
ANKRD13D (338692)	ANKRD13D	338692
ANKRD16 (54522)	ANKRD16	54522
ANKRD17 (26057)	ANKRD17	26057
ANKRD18A (253650)	ANKRD18A	253650
ANKRD2 (26287)	ANKRD2	26287
ANKRD22 (118932)	ANKRD22	118932
ANKRD23 (200539)	ANKRD23	200539
ANKRD24 (170961)	ANKRD24	170961
ANKRD26 (22852)	ANKRD26	22852
ANKRD27 (84079)	ANKRD27	84079
ANKRD28 (23243)	ANKRD28	23243
ANKRD29 (147463)	ANKRD29	147463
ANKRD30A (91074)	ANKRD30A	91074
ANKRD30B (374860)	ANKRD30B	374860
ANKRD31 (256006)	ANKRD31	256006
ANKRD33 (341405)	ANKRD33	341405
ANKRD33B (651746)	ANKRD33B	651746
ANKRD34A (284615)	ANKRD34A	284615
ANKRD34B (340120)	ANKRD34B	340120
ANKRD34C (390616)	ANKRD34C	390616
ANKRD35 (148741)	ANKRD35	148741
ANKRD37 (353322)	ANKRD37	353322
ANKRD39 (51239)	ANKRD39	51239
ANKRD40 (91369)	ANKRD40	91369
ANKRD42 (338699)	ANKRD42	338699
ANKRD44 (91526)	ANKRD44	91526
ANKRD45 (339416)	ANKRD45	339416
ANKRD46 (157567)	ANKRD46	157567
ANKRD49 (54851)	ANKRD49	54851
ANKRD50 (57182)	ANKRD50	57182
ANKRD52 (283373)	ANKRD52	283373
ANKRD53 (79998)	ANKRD53	79998
ANKRD54 (129138)	ANKRD54	129138
ANKRD55 (79722)	ANKRD55	79722
ANKRD6 (22881)	ANKRD6	22881
ANKRD61 (100310846)	ANKRD61	100310846
